Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region
Qatar,18085,17498,19334,23716,30651,44636,58629,75987,112621,88196,119707,167775,186834,198728,206225,161740,151732,161099,183335,176371,West
Russia,278264,328475,370062,461518,633294,817717,1060901,1393416,1779109,1307927,1633111,2046621,2191484,2288428,2048836,1356704,1280648,1575140,1653006,1695724,North
Saudi Arabia,189515,184137,189606,215807,258742,328206,376398,415687,519797,429098,528207,676635,741850,753864,766606,669485,665999,714994,846584,838565,West
Singapore,96077,89794,92538,97646,115034,127808,148627,180942,193617,194150,239808,279357,295093,307576,314864,307999,319030,343273,376870,376837,Southeast
South Korea,576483,547743,626989,702696,792532,934708,1052610,1172465,1049168,943739,1143568,1253419,1278046,1370633,1484489,1466039,1499362,1623074,1725373,1651423,East
Sri Lanka,20007,19236,20238,22352,24423,28880,33447,38270,48177,49750,58643,67725,70392,76934,82483,85091,88000,94376,94484,89015,South
Syria,19861,20979,22758,21702,25204,28881,33824,40488,52631,53939,60043,,,,,,,,,,West
Tajikistan,991,1057,1212,1555,2073,2311,2811,3712,5135,4977,5642,6523,7592,8506,9242,7857,6994,7535,7762,8301,Central
Thailand,126132,120105,134177,152142,172752,189084,221579,263007,290970,281399,340928,370929,397722,420364,407373,401142,413497,456523,506547,543923,Southeast
Timor-Leste,367,477,470,490,441,462,454,543,648,727,882,1042,1160,1396,1447,1594,1651,1596,1564,2029,Southeast
Turkey,274321,202248,240191,314752,409127,506186,555126,680489,770820,648797,776558,838508,880141,957504,938512,864071,869280,858932,779694,759450,West
Turkmenistan,8487,11717,14703,19307,23991,29023,36154,43875,36363,34162,34788,44070,49858,51301,55523,44060,41698,46365,48686,52961,Central
United Arab Emirates,103893,103312,109816,124346,147824,180617,222117,257916,315475,253547,289787,350666,384610,400219,414105,370276,369255,390517,427049,417990,West
Uzbekistan,17195,14581,12106,12697,15045,17939,21344,27963,35858,41945,49772,60213,67520,73192,80848,85662,85658,62081,52870,60284,Central
Vietnam,39585,41297,44563,50233,62877,73197,84301,98426,124756,129022,143212,171312,195169,212728,232888,236795,252146,277071,304470,331818,Southeast
Yemen,9679,9853,10693,11778,13868,16732,19063,21651,26911,25130,30907,32726,35401,40415,43229,42444,31318,26842,21606,21888,West
